aco_num,aco_name,qualscore,qualperfshare,n_ab,Unnamed: 5,n_ben_age_0_64,n_ben_age_65_74,n_ben_age_75_84,n_ben_age_85plus,n_ben_female,n_ben_male,n_ben_race_white,n_ben_race_black,n_ben_race_asian,n_ben_race_hisp,n_ben_race_native,n_ben_race_other,readm_rate_1000,prov_rate_1000,p_em_total,p_em_pcp_vis,p_em_sp_vis,p_nurse_vis,p_fqhc_rhc_vis,n_cah,n_fqhc,n_rhc,n_eta,n_fac_other,n_pcp,n_spec,n_np,n_pa,n_cns,py,aco_state,per_capita_exp_total_py,aim,met_qps,aco1,aco2,aco3,aco4,aco5,aco6,aco7,aco34,aco8,aco35,aco36,aco37,aco38,aco11,aco13,aco14,aco15,aco16,aco17,aco18,aco19,aco20,aco42,aco40,dm_comp,aco27,aco41,aco28,aco30,aco44,aco43,aco12
A98813,"Cumberland Center for Healthcare Innovation, LLC",0.872433036,0.5,12692,12692.0,2768,5626,3158,1140,7152,5540,12430,122,11,11,9,109,194.2643392,779.5511222,9953.865997,4833.154572,3490.272215,1609.503768,20.93544227,0,0,1,0,0,33,2,34,0,0,2014,Tennessee,10195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A43014,"Indiana University Health ACO, Inc.",0.84140625,0.5,41179,41179.0,11032,16774,9342,4031,23722,17457,34796,5276,226,187,25,669,192.628419,754.3362242,8561.453611,3204.52899,4166.956098,972.5568591,217.4116639,0,20,0,0,13,489,1807,309,10,12,2014,Indiana,10553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A42388,"Mercy ACO, LLC",0.881473214,0.5,51284,51284.0,8058,20575,14763,7888,29512,21772,49397,777,299,184,27,600,147.9242882,752.1870527,8877.904718,3503.431759,3220.603001,1215.513805,938.3561529,20,9,16,0,15,390,595,187,0,0,2014,Iowa,8614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05913,"FPG Healthcare, LLC",0.827566964,0.5,3857,3857.0,960,1660,938,299,2198,1659,2671,609,88,340,3,146,191.6508539,777.0398482,10162.18857,3610.07239,5503.042146,1022.427499,26.64653373,0,0,0,0,5,77,28,11,0,0,2014,Florida,9128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10213,"University of Iowa Affiliated Health Providers, LC",0.89140625,0.5,18767,18767.0,4506,7681,4518,2062,10622,8145,17716,496,113,108,13,321,171.5244286,756.3430489,8493.158011,3380.643258,3873.598407,1185.02877,53.88757746,0,0,4,0,16,179,1040,169,2,1,2014,Iowa,8705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40070,"ProHealth Solutions, LLC",0.899776786,0.5,19126,19126.0,2871,9064,4912,2279,10928,8198,18445,149,48,47,15,422,158.3411876,743.8737041,7625.520273,3298.232983,3661.355568,662.3139953,3.617726862,0,0,0,0,6,152,403,82,1,2,2014,Wisconsin,8308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A26898,"Accountable Care Options, LLC",0.906584821,0.5,6683,6683.0,673,2500,2225,1285,3912,2771,5895,280,31,344,3,130,169.5774648,805.6338028,14206.49073,5413.378021,8119.683267,666.3681834,7.061261561,0,0,0,0,0,45,4,15,1,0,2014,Florida,12037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A79251,"AnewCare Collaborative, LLC",0.875446429,0.5,20190,20190.0,6056,7614,4681,1839,11319,8871,19675,293,34,13,8,167,203.7718491,758.3563324,9310.309603,4097.741609,3380.538507,1759.093579,72.93590868,0,0,5,0,33,280,404,115,5,0,2014,"Virginia,  Tennessee",9181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A62480,BHS Accountable Care LLC,0.878794643,0.5,15022,15022.0,3058,6544,3652,1768,8281,6741,12080,1513,139,932,10,348,170.8479679,740.8429503,10375.57998,4072.531514,5152.550188,1134.451893,16.04638697,0,0,0,0,6,147,54,22,0,3,2014,Texas,11223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A71891,"ProMedica Physician Group, Inc.",0.884263393,0.5,16852,16852.0,3551,7306,4138,1857,9344,7508,15291,992,48,108,7,406,151.8800688,784.9594495,7987.971302,3441.734086,3830.132804,707.0065639,9.097847657,0,0,0,0,0,109,155,52,0,0,2014,"Ohio,  Michigan",8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A71489,"Barnabas Health ACO-North, LLC",0.812946429,0.5,12646,12646.0,2100,5376,3472,1698,7519,5127,8915,2863,157,310,4,397,194.4625407,747.2312704,10315.43606,3563.723358,6339.76729,408.6015659,3.34384515,0,0,0,0,10,70,375,84,3,0,2014,New Jersey,11738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A78144,"Coastal Medical, Inc.",0.945758929,0.5,10833,10833.0,1570,4808,2812,1643,6455,4378,10099,279,37,98,15,305,159.0501792,801.9713262,9673.432751,4062.138797,4850.038581,753.4132246,7.84214919,0,0,0,0,0,62,27,29,0,0,2014,"Massachusetts,  Rhode Island",8654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64316,Polyclinic Management Services Company,0.88125,0.5,7783,7783.0,874,3846,2045,1018,4207,3576,6672,373,266,19,21,432,153.6074476,739.3328161,9009.02761,3007.446131,4980.604916,1014.123487,6.853076197,0,0,0,0,0,80,257,18,0,0,2014,Washington,7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A95753,Independent Physicians' ACO of Chicago LLC,0.911607143,0.5,17612,17612.0,2574,6806,5202,3030,9880,7732,13163,1463,1467,405,14,1100,218.1208054,828.7192394,13388.26494,6546.417174,5219.803223,1604.866977,17.17756524,0,0,0,0,0,97,151,14,0,0,2014,Illinois,15345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09762,University Hospitals Coordinated Care,0.81875,0.5,46100,46100.0,8178,18778,12492,6652,27037,19063,38305,6519,219,78,14,965,183.5895875,793.4236566,9425.657702,3989.523811,4413.439838,1018.437868,4.256185002,0,0,0,0,111,337,1238,133,0,9,2014,Ohio,9965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A31344,"Greater Baltimore Health Alliance Physicians, LLC",0.887611607,0.5,11810,11810.0,1535,5293,3168,1814,7143,4667,9976,1496,76,14,0,248,156.0897436,780.1282051,9781.971415,3639.954136,4757.42549,1381.086272,3.505517539,0,0,0,0,2,144,197,48,4,0,2014,"Maryland,  Pennsylvania",11708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10764,Total Accountable Care Organization,0.922991071,0.5,8830,8830.0,1704,3204,2316,1606,5075,3755,8119,205,84,155,2,265,190.4243743,828.0739935,14367.63137,5743.787498,5733.452086,2884.049602,6.342184334,0,0,0,0,7,150,297,45,1,2,2014,Massachusetts,13657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A55870,"Accountable Care Coalition of Green Mountains, LLC",0.920982143,0.5,7639,7639.0,1217,3231,2123,1068,4341,3298,7380,30,35,4,0,190,128.2778172,798.724309,9174.010489,4894.078623,2932.359138,1329.822045,17.75068358,0,0,0,0,0,31,4,13,0,0,2014,Vermont,7999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A59256,"Maine Community Accountable Care Organization, LLC",0.918303571,0.5,6625,6625.0,2169,2347,1473,636,3570,3055,6504,16,9,7,12,77,144.61738,830.7392996,7868.275036,281.0098227,2278.975759,635.5549262,4672.734529,0,30,0,0,0,63,87,54,0,0,2014,Maine,8070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A13682,"Accountable Care Coalition of Syracuse, LLC",0.916071429,0.5,12729,12729.0,2009,4883,3793,2044,7423,5306,11969,345,75,30,22,288,163.94081,802.5700935,9773.314396,4271.920892,4200.128631,1291.456748,9.808125201,0,0,0,0,0,63,31,29,1,0,2014,New York,7532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05247,"Essential Care Partners, LLC",0.853125,0.5,14954,14954.0,6016,5815,2376,747,8462,6492,9844,1525,86,3187,18,294,162.1279291,684.2938569,7702.515891,283.6368689,2969.538387,307.1169721,4142.223663,0,136,0,0,0,197,194,90,0,0,2014,Texas,8475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14573,MaineHealth Accountable Care Organization,0.912276786,0.5,49413,49413.0,10410,18796,13385,6822,28021,21392,48015,205,206,60,52,875,148.4382372,780.8813815,8649.125637,3402.67538,3600.285124,1322.622101,323.5430314,3,0,11,0,11,401,1326,257,2,5,2014,Maine,8742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A67273,"Iowa Health Accountable Care, L.C.",0.909933036,0.5,80792,80792.0,13426,34134,22024,11208,46382,34410,76470,2653,303,217,41,1108,169.3249786,787.429982,8508.782605,2854.368498,3571.47409,1178.939651,904.0003666,0,3,25,0,24,559,888,305,2,1,2014,"Illinois,  Iowa,  Missouri",9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A55185,"Physician Organization of Michigan ACO, LLC",0.910267857,0.5,122032,122032.0,26777,50349,30754,14152,68724,53308,107669,9696,1184,452,232,2799,175.2959308,770.8627078,8093.935043,3575.055087,3594.460248,778.7291307,145.6905777,0,15,4,0,15,1216,3952,511,4,1,2014,Michigan,9066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A75525,"Accountable Care Coalition of Western Georgia, LLC",0.846763393,0.5,4530,4530.0,989,1899,1213,429,2698,1832,2589,1842,34,17,1,47,161.4035088,731.5789474,11976.03743,5633.25853,5704.918033,622.1140314,15.74683352,0,0,0,0,0,32,26,16,0,0,2014,"Georgia,  Alabama",10512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A33458,Medicare Value Partners,0.878794643,0.5,39031,39031.0,5746,15100,11352,6833,22762,16269,33119,3421,480,981,12,1018,190.8038786,799.7341257,10283.97748,4482.701812,4788.096098,1005.699989,7.479583117,0,5,0,0,32,416,519,72,3,4,2014,Illinois,12071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A51314,"Healthcare Provider ACO, Inc.",0.703013393,0.5,27791,27791.0,5370,10619,7405,4397,16212,11579,18888,5410,855,1012,49,1577,227.0702571,823.2435716,14195.39596,6884.192122,6499.104115,783.8653878,28.23433131,0,14,0,0,0,264,263,55,0,0,2014,New York,15065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A43867,"AzPCP-ACO, A Medical Corporation, PC",0.820758929,0.5,8233,8233.0,1587,4133,1825,688,4511,3722,7113,324,108,285,175,228,161.8798956,787.9895561,10196.94567,4372.444296,4900.692648,913.5441876,10.26454143,0,0,0,0,0,45,0,21,1,0,2014,Arizona,9400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A07663,Aurora Accountable Care Organization LLC,0.899553571,0.5,8279,8279.0,1638,2982,2302,1357,5079,3200,7765,153,45,130,26,160,174.7741487,792.9117443,8576.605849,4073.981505,3643.589103,849.4126468,9.622594351,0,0,0,0,0,74,104,24,2,0,2014,Wisconsin,10598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A88215,GOLDEN LIFE HEALTHCARE LLC,0.827120536,0.5,7571,7571.0,1602,2696,2008,1265,4204,3367,5279,433,1071,243,43,502,189.2130858,797.0822281,10987.63487,6242.712793,3005.583148,923.719815,815.6191129,0,0,3,0,0,29,24,9,0,0,2014,California,12203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A59303,"Nevada Primary Care Network, ACO, LLC",0.849107143,0.5,7059,7059.0,1429,3218,1755,657,3903,3156,5333,648,403,328,20,327,201.7045455,717.6136364,10302.03943,4943.748709,4674.38386,670.642681,13.26417822,0,0,0,0,0,0,0,0,0,0,2014,Nevada,11628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A13492,"St. John Providence Partners in Care, LLC",0.917633929,0.5,11131,11131.0,2010,4833,2919,1369,6606,4525,8053,2845,43,13,8,169,166.7805878,781.6131237,8430.921988,3684.170887,4439.46788,301.6576878,5.625533158,0,0,0,0,4,129,255,35,0,3,2014,Michigan,8614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12881,"Accountable Care Organization of New England, LLC",0.802678571,0.5,11499,11499.0,2163,4063,3051,2222,6770,4729,10390,566,96,211,3,233,167.1861717,862.0005667,10811.03037,4745.407772,4288.576973,1769.01205,8.033578553,0,0,0,0,6,69,78,36,0,4,2014,"Massachusetts,  Connecticut",12061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A45011,Medical Mall Services of Mississippi,0,0.5,4630,4630.0,1910,1544,801,375,2685,1945,873,3729,5,5,2,16,220.4724409,696.5879265,8761.044177,1678.045515,2466.755913,991.7447568,3624.497992,0,52,3,0,0,41,29,47,0,0,2014,"Mississippi,  Alabama",13045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04598,"Accountable Care Coalition of Maryland, LLC.",0.721428571,0.5,12997,12997.0,2022,6420,3387,1168,7142,5855,8945,3506,208,21,11,306,163.6182241,786.8307283,10682.6868,4210.659447,5661.403474,807.9362884,2.687587692,0,0,0,0,0,46,46,10,1,0,2014,Maryland,9710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A22691,Independent San Diego ACO,0,0.5,5592,5592.0,890,1858,1620,1224,3174,2418,4660,281,257,125,12,257,204.5896538,844.4185142,14110.39698,7341.587902,5899.05482,834.4045369,35.34971645,0,0,0,0,0,0,0,0,0,0,2014,California,20714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A21965,Asian American Accountable Care Organization,0.846540179,0.5,12997,12997.0,1244,4912,4577,2264,7968,5029,1393,420,8549,159,8,2468,192.4686193,814.9697815,13065.33375,6804.707179,5782.115869,105.2424433,373.268262,0,3,0,0,0,84,217,1,0,0,2014,New York,8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03682,"Physicians ACO, LLC",0.7484375,0.5,7917,7917.0,2166,3242,1770,739,4667,3249,4429,1939,498,822,18,211,206.2997577,721.7030114,10568.12741,5311.281878,4423.248035,819.9556202,13.64187882,0,0,0,0,0,43,8,12,0,0,2014,Texas,16014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A45848,ApolloMed Accountable Care Organization Inc.,0.904241071,0.5,26237,26237.0,4097,10578,7894,3668,15301,10936,17107,2728,3722,1288,16,1376,193.0235425,745.8400099,11340.58772,4837.744639,5242.594568,1227.07375,33.17476624,0,0,1,0,6,179,324,44,3,0,2014,"California,  Mississippi",13215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A74604,TP-ACO L.L.C.,0.868080357,0.5,11275,11275.0,2325,4963,2745,1242,6509,4766,9082,1909,79,34,16,155,165.1025374,754.6054918,9944.600538,4570.364036,4323.540191,1019.545566,31.15074518,0,0,2,0,0,63,38,74,0,0,2014,"Tennessee,  Louisiana,  Mississippi",9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A97609,"Franciscan AHN ACO, LLC",0.861830357,0.5,31390,31390.0,4597,14518,8583,3692,18311,13079,29944,895,86,37,16,412,147.5229861,821.3256484,9024.145547,3960.526424,3834.224116,1217.506958,11.88804873,0,0,1,0,1,111,106,56,0,0,2014,Indiana,9078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81218,"Reliance Healthcare Management Solutions, LLC",0.780357143,0.5,4402,4402.0,1174,1625,1079,524,2641,1761,2380,1823,49,64,3,83,213.2352941,772.0588235,10945.80894,4869.886431,5261.052383,794.3568987,20.51322356,0,0,1,0,0,21,1,7,0,0,2014,Florida,11797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00755,Balance Accountable Care Network,0.793415179,0.5,8165,8165.0,2255,2621,2025,1264,4829,3336,3132,2488,165,1833,19,528,257.7471717,772.7496311,16500.99548,8985.677892,5275.416925,1936.760078,303.1405879,0,11,0,0,2,292,750,67,1,0,2014,"New Jersey,  New York",20811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A23779,"Southeast Michigan Accountable Care, Inc.",0.779352679,0.5,12879,12879.0,3788,4836,2919,1336,6843,6036,10203,1821,260,97,17,481,229.2921687,794.2394578,11261.74227,6411.641911,4207.386592,635.0060217,7.707747892,0,0,0,0,0,91,148,20,0,0,2014,Michigan,12467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A83851,"Meridian Holdings, Inc.",0.78828125,0.5,9990,9990.0,3594,3118,2109,1169,5614,4376,4757,4089,93,842,9,200,234.0600576,752.9823118,12804.93085,6311.133521,4622.406134,1793.881649,77.50954091,0,0,1,0,0,49,23,12,0,0,2014,"North Carolina,  Georgia,  Florida,  Louisiana,  South Carolina,  Tennessee,  District of Columbia,  California,  Texas,  Maryland",18075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60499,Arizona Care Network LLC,0.820424107,0.5,32923,32923.0,5459,16465,7810,3189,17563,15360,29189,1412,371,777,271,903,184.1535128,787.4754978,11282.2134,4201.49618,5714.775771,1328.513187,37.42825855,0,6,0,0,6,506,735,154,1,0,2014,"Nevada,  Arizona",12231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A36859,Baroma Healthcare International,0.761941964,0.5,6970,6970.0,1294,2475,1969,1232,4369,2601,3514,556,27,2660,2,211,235.2392791,752.0198881,12859.59971,6263.776352,5911.925649,599.620305,84.2774007,0,0,0,0,0,66,85,16,0,0,2014,Florida,20504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A85560,Yavapai Accountable Care,0.878125,0.5,13300,13300.0,1702,6424,3745,1429,7573,5727,11595,967,223,251,22,242,157.0219966,731.3028765,9756.579751,4325.108779,4576.614329,845.5244841,9.332159315,0,2,0,0,0,53,27,18,0,0,2014,"Texas,  Arizona",10129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30070,"Colorado Accountable Care, LLC",0.917299107,0.5,13743,13743.0,2395,6567,3364,1417,7608,6135,12744,255,78,267,48,351,125.0799744,736.084453,8223.804552,3225.486212,3992.323129,979.5887748,26.40643657,0,0,0,0,29,229,343,101,3,6,2014,Colorado,9526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A73700,"Carilion Clinic Medicare Shared Savings Company, LLC",0.7984375,0.5,49057,49057.0,8979,21177,13083,5818,28381,20676,45036,3264,119,44,17,577,175.8530184,817.4659986,8850.663316,4291.006988,3486.972936,1059.201498,13.48189357,0,0,0,0,5,410,582,149,13,4,2014,Virginia,8852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A94529,Physicians Collaborative Trust ACO LLC,0.794866071,0.5,12209,12209.0,1318,5444,3910,1537,6663,5546,11347,422,46,193,2,199,164.9026972,804.3700922,11934.48307,4705.72609,6118.828078,1052.716939,57.2119653,0,0,0,0,0,32,25,7,2,0,2014,Florida,9460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A32235,"Alegent Health Partners, LLC",0.877566964,0.5,25954,25954.0,5550,11197,6410,2797,14609,11345,23280,1879,117,174,50,454,166.5214866,778.7456446,7847.705881,3326.669693,3398.788088,795.7274953,326.5206055,8,0,13,0,16,245,563,118,0,0,2014,"Iowa,  Nebraska",8724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A83794,"Pioneer Valley Accountable Care, LLC",0.890625,0.5,35631,35631.0,9029,14303,8210,4089,20626,15005,31454,2106,215,980,16,860,165.5585973,830.0091253,9607.600336,4320.363243,4087.986137,1193.148707,6.102248819,0,0,0,0,4,325,844,182,2,9,2014,"Massachusetts,  Connecticut",8773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A19579,Primary Care Alliance LLC,0.813504464,0.5,7897,7897.0,718,3619,2634,926,4551,3346,7479,227,44,23,8,116,163.9488762,789.7752314,13152.90741,4518.532106,6687.096043,740.5073535,1206.771907,0,0,4,0,0,30,8,4,1,0,2014,Florida,10595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00843,"St. Luke's Clinic Coordinated Care, Ltd.",0.923660714,0.5,28877,28877.0,4607,12436,8071,3763,16354,12523,27725,82,134,343,89,504,129.0169384,734.8424885,8316.497414,2950.403258,3414.377964,1603.708368,348.007824,8,0,3,0,9,254,671,121,2,0,2014,"Idaho,  Oregon",8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A45761,Regents of the University of California,0.861383929,0.5,24254,24254.0,3732,11029,6149,3344,14145,10109,18280,1957,1405,794,29,1789,222.5010456,816.8130489,11982.58265,4482.859455,7272.318197,220.1655145,7.239485003,0,0,0,0,6,426,1914,87,0,3,2014,California,13582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A80267,Marshfield Clinic,0.888950893,0.5,32096,32096.0,7280,12973,8073,3770,17494,14602,30978,71,281,41,232,493,172.0562824,794.4951864,7836.251024,3041.668122,3438.825221,1342.827585,12.93009633,0,0,0,0,0,226,878,148,2,1,2014,Wisconsin,8650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01645,Triple Aim Accountable Care Organization,0.928348214,0.5,15021,15021.0,4171,4726,3965,2159,8418,6603,13488,586,444,70,55,378,170.0943625,808.3716429,8253.54347,4077.042453,3060.523502,1104.803945,11.17356968,0,0,0,0,6,302,335,63,0,3,2014,"Minnesota,  Wisconsin",9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A66698,Primary Partners ACIP LLC,0.891964286,0.5,7281,7281.0,882,3185,2214,1000,4315,2966,6559,414,27,152,5,124,198.3648881,822.7194492,13022.5539,5936.205694,6023.772072,957.5532506,105.0228851,0,0,0,0,0,14,26,1,0,0,2014,Florida,11992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A69939,"Meridian Accountable Care Organization, LLC",0.864508929,0.5,41202,41202.0,5278,18372,11939,5613,23317,17885,38186,1758,241,159,6,852,150.747635,822.5002543,10870.63944,3867.508307,6246.354998,752.0731794,4.702958945,0,0,0,0,21,146,573,84,3,3,2014,New Jersey,10942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A99470,"Accountable Care Coalition of DeKalb, LLC.",0.808705357,0.6,16426,16426.0,3390,7442,4005,1589,9750,6676,9167,6715,161,80,5,298,152.9411765,688.9894419,8822.98161,3281.181899,5057.919134,476.7314858,7.149090947,0,0,0,0,4,144,463,58,2,0,2014,Georgia,8731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05967,"Accountable Care Coalition of South Georgia, LLC.",0.849776786,0.5,8227,8227.0,1279,3735,2316,897,4811,3416,6270,1864,16,6,2,69,129.4783155,736.6436204,9783.215103,4678.667321,4450.118579,587.7325867,66.69661607,0,0,0,0,0,23,8,11,1,0,2014,"Georgia,  Florida",7654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A71510,"Northwest Ohio ACO, LLC",0.884821429,0.5,13415,13415.0,3368,5209,3198,1640,7504,5911,11132,1802,60,93,7,321,180.5278332,789.3102684,9353.783073,3627.340245,4711.511682,1011.681882,3.249265047,0,0,0,0,0,93,377,75,0,2,2014,"Ohio,  Michigan",10987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A41867,"Wellmont Integrated Network, LLC",0.854464286,0.5,11130,11130.0,3295,4278,2579,978,6157,4973,10880,149,16,4,1,80,202.8061225,747.7678571,9343.283351,3766.877924,3525.036653,1994.864674,56.50409973,1,0,0,0,9,174,304,111,2,5,2014,"Virginia,  Tennessee",8854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A21778,"Lahey Clinical Performance Accountable Care Organization, LLC",0.901227679,0.5,36198,36198.0,5685,15240,10433,4840,19588,16610,34529,328,263,146,14,918,175.9602036,810.0416474,9550.835393,3176.888045,4829.457968,1540.749765,3.739615131,0,0,0,0,3,307,938,239,3,13,2014,"Massachusetts,  New Hampshire",10105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A95164,"Mercy ACO, LLC",0.932700893,0.5,36301,36301.0,7585,15296,9698,3722,20255,16046,35300,367,121,63,87,363,147.0410263,631.4897737,7899.319258,2499.559019,2859.65464,814.6485987,1725.457,0,0,31,0,6,260,631,171,3,5,2014,"Missouri,  Arkansas",8038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A06339,"Accountable Care Coalition of North Central Florida, LLC.",0,0.5,5328,5328.0,877,2368,1470,613,2992,2336,4485,712,25,34,4,68,220.0983069,784.2708902,12523.89358,6364.257607,5101.744045,1003.675935,54.21598951,0,0,0,0,0,0,0,0,0,0,2014,Florida,11566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A73727,"Indiana Lakes ACO, LLC",0.92734375,0.5,8037,8037.0,1196,3089,2362,1390,4715,3322,7783,57,20,72,4,101,160,822.5,8387.146629,4575.568292,3040.247279,707.9657415,63.36531651,0,1,0,0,3,45,121,42,0,0,2014,"Indiana,  Michigan",8929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A83092,Saint Francis HealthCare Partners ACO Inc.,0.874107143,0.5,21549,21549.0,3124,8342,6413,3670,12534,9015,17332,2990,229,364,15,619,188.9850511,819.6695515,10171.14738,3516.466635,4484.925588,2160.24964,9.505520883,0,0,0,0,3,212,585,97,1,5,2014,Connecticut,11752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A32930,"OneCare Vermont Accountable Care Organization, LLC",0.891517857,0.5,55058,55058.0,11797,22747,13857,6657,30690,24368,53308,220,136,57,34,1303,157.7519041,787.8840935,8140.997313,2463.27733,3001.962894,1150.808659,1524.948429,11,20,14,0,68,512,1646,287,3,12,2014,"Vermont,  New Hampshire",8815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A96588,Alexian Brothers Accountable Care Organization,0.884821429,0.5,41818,41818.0,5056,18095,11425,7242,24549,17269,37801,1609,781,356,12,1259,205.3007416,840.771766,11407.42002,4940.333861,5217.777981,1244.226142,5.082032896,0,0,0,0,17,328,1064,95,0,9,2014,Illinois,13730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A34796,"Maryland Collaborative Care, LLC.",0.7765625,0.5,16236,16236.0,2115,7112,4781,2228,9818,6418,10857,2370,1263,645,10,1091,177.0748851,806.1638281,11073.99257,4596.299845,5936.947846,536.0064863,4.738388316,0,0,0,0,0,57,23,5,0,0,2014,"District of Columbia,  Maryland",10668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A28700,"Virginia Collaborative Care, LLC.",0.85,0.5,10807,10807.0,1336,5218,2931,1322,6386,4421,7570,1354,994,295,6,588,197.3922492,806.229627,10422.17735,5402.413623,4588.936766,424.1489514,6.678008681,0,0,0,0,0,56,7,5,1,0,2014,Virginia,10417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81035,"Christie Clinic Physician Services, LLC",0.769419643,0.5,5921,5921.0,1108,2583,1525,705,3355,2566,5323,475,34,4,0,85,168.7578419,799.2471769,9092.464549,3322.92277,4128.383921,1603.363413,37.7944451,0,0,0,0,0,41,97,27,0,0,2014,Illinois,9046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A42036,"Cedars-Sinai Accountable Care, LLC",0.899888393,0.5,12644,12644.0,1952,5844,3272,1576,6996,5648,9265,1730,531,382,9,727,226.6901232,775.3204323,11694.30925,2662.835066,8505.279827,521.2797182,4.914642221,0,0,0,0,2,220,684,82,2,0,2014,California,16308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
